player_id,player_name,game_dt,epm,oepm,depm
1627759,Jaylen Brown,2022-04-10,3.28996,2.09279,1.19716
1627761,DeAndre' Bembry,2022-04-05,-2.74581,-2.88479,0.138984
1627763,Malcolm Brogdon,2022-04-10,1.43938,2.10234,-0.662964
1627774,Jake Layman,2022-04-10,-2.947,-2.61925,-0.327748
1627777,Georges Niang,2022-04-10,-0.89532,-0.307335,-0.587985
1627780,Gary Payton II,2022-04-10,1.88814,-0.752004,2.64014
1627783,Pascal Siakam,2022-04-10,2.67115,1.94905,0.722099
1627788,Furkan Korkmaz,2022-04-10,-1.16853,-0.894809,-0.273719
1627789,Timothe Luwawu-Cabarrot,2022-04-10,-2.50979,-1.36996,-1.13983
1627814,Damion Lee,2022-04-10,-1.74099,-1.44385,-0.297143
1627823,Juancho Hernangomez,2022-04-10,-2.41633,-0.923503,-1.49282
1627826,Ivica Zubac,2022-04-10,2.05188,0.615115,1.43677
1627827,Dorian Finney-Smith,2022-04-10,1.49368,0.687904,0.80578
1627832,Fred VanVleet,2022-04-10,3.29666,2.18684,1.10982
1627853,Ryan Arcidiacono,2022-04-10,-2.14799,-2.30697,0.158982
1627854,Bryn Forbes,2022-04-10,-1.71621,-0.253771,-1.46243
1627863,Danuel House Jr.,2022-04-10,-1.7668,-1.38814,-0.378659
1627884,Derrick Jones Jr.,2022-04-10,-1.3869,-1.29838,-0.0885205
1627936,Alex Caruso,2022-04-10,0.879373,-1.31139,2.19077
1628021,David Nwaba,2022-04-10,-1.51984,-1.2001,-0.319742
1628221,Gabe York,2022-04-10,-2.34062,-1.66307,-0.677544
1628365,Markelle Fultz,2022-04-10,-2.44178,-1.9153,-0.526479
1628366,Lonzo Ball,2022-04-10,1.08627,0.0944608,0.991814
1628367,Josh Jackson,2022-04-10,-3.40156,-2.90492,-0.496647
1628368,De'Aaron Fox,2022-04-10,0.575557,2.09302,-1.51747
1628369,Jayson Tatum,2022-04-10,6.33478,4.96851,1.36626
1628370,Malik Monk,2022-04-10,-0.729262,0.718599,-1.44786
1628371,Jonathan Isaac,2022-04-10,-0.592123,-1.58275,0.990632
1628373,Frank Ntilikina,2022-04-10,-1.81437,-2.59717,0.782802
1628374,Lauri Markkanen,2022-04-10,1.72283,1.59607,0.126756
1628378,Donovan Mitchell,2022-04-10,3.2132,4.11439,-0.901187
1628379,Luke Kennard,2022-04-10,-0.31601,0.464299,-0.780309
1628380,Zach Collins,2022-04-10,-0.827061,-1.19456,0.367503
1628381,John Collins,2022-04-10,1.51126,1.51387,-0.00261738
1628384,OG Anunoby,2022-04-10,0.656109,0.161494,0.494615
1628386,Jarrett Allen,2022-04-10,3.29999,1.11536,2.18463
1628389,Bam Adebayo,2022-04-10,3.25895,0.838331,2.42062
1628392,Isaiah Hartenstein,2022-04-10,0.74878,0.297253,0.451527
1628396,Tony Bradley,2022-04-10,-1.06105,-1.65711,0.596061
1628398,Kyle Kuzma,2022-04-10,-0.895725,-0.598031,-0.297694
1628401,Derrick White,2022-04-10,2.16858,0.330111,1.83847
1628402,Frank Jackson,2022-04-10,-2.13967,-0.501248,-1.63843
1628404,Josh Hart,2022-04-10,0.621047,0.989486,-0.36844
1628415,Dillon Brooks,2022-04-10,2.15797,1.12651,1.03147
1628418,Thomas Bryant,2022-04-10,-0.616393,-0.067182,-0.549211
1628420,Monte Morris,2022-04-10,0.114533,1.01681,-0.902278
1628425,Sterling Brown,2022-04-10,-2.33348,-2.34485,0.0113661
1628427,Vlatko Cancar,2022-04-10,-2.82573,-2.50541,-0.320318
1628432,Davon Reed,2022-04-10,-2.13537,-1.64735,-0.488023
1628436,Luke Kornet,2022-04-10,-0.219655,-1.17016,0.950502
1628449,Chris Boucher,2022-04-10,1.59534,0.80463,0.790707
1628464,Daniel Theis,2022-04-10,-0.0685199,-1.02484,0.956318
1628467,Maxi Kleber,2022-04-10,-0.25899,-1.42794,1.16895
1628470,Torrey Craig,2022-04-10,-2.53427,-1.56929,-0.964982
1628539,Mychal Mulder,2022-04-10,-2.47482,-1.50724,-0.967584
1628960,Grayson Allen,2022-04-10,-1.66679,-0.86539,-0.801404
1628962,Udoka Azubuike,2022-04-10,-1.54796,-2.66343,1.11546
1628963,Marvin Bagley III,2022-04-10,-1.08627,-0.512016,-0.574256
1628964,Mo Bamba,2022-04-10,-0.71166,-0.787862,0.0762016
1628966,Keita Bates-Diop,2022-04-10,-2.30198,-2.3654,0.06342
1628969,Mikal Bridges,2022-04-10,2.23461,1.40005,0.834557
1628970,Miles Bridges,2022-04-10,2.23921,2.409,-0.16979
1628971,Bruce Brown,2022-04-10,0.323064,0.370745,-0.0476818
1628972,Troy Brown Jr.,2022-04-10,-2.68189,-2.11577,-0.566127
1628973,Jalen Brunson,2022-04-10,0.840097,1.19564,-0.355541
1628975,Jevon Carter,2022-04-10,-2.51771,-1.64873,-0.868979
1628976,Wendell Carter Jr.,2022-04-10,1.84707,0.257864,1.5892
1628977,Hamidou Diallo,2022-04-10,-1.31543,-1.84477,0.529343
