NBA ID,Player Name,Position,Age,DPM,Offensive DPM,Defensive DPM,Box Only O-DPM,Box Only D-DPM,On Off O-DPM,On Off D-DPM
1630619,Moussa Cisse,c_pos,23.6,-0.85,-1.82,0.97,-1.86,1.04,-1.48,0.57
1642869,Noah Penda,sg_pos,21.3,-0.86,-1.18,0.32,-1.12,0.53,-1.58,-0.47
1628975,Jevon Carter,pg_pos,30.7,-0.86,-0.95,0.09,-1.51,-0.15,-0.58,0.19
1630703,Scoot Henderson,pg_pos,22.3,-0.86,-0.27,-0.59,-0.51,-0.92,-0.01,-0.37
1631255,Karlo Matkovic,pf_pos,25.2,-0.86,-1.12,0.25,-1.25,-0.02,-0.73,0.71
1642382,Branden Carlson,c_pos,27.0,-0.87,-0.95,0.08,-0.83,0.31,-1.77,-0.81
1641725,Trey Alexander,sg_pos,23.1,-0.91,-1.19,0.27,-1.15,0.36,-1.84,-0.87
1642949,Yanic Konan Niederhäuser,c_pos,23.1,-0.91,-1.68,0.77,-1.68,0.89,-1.64,-0.07
1642274,Yves Missi,c_pos,22.1,-0.92,-1.72,0.8,-1.91,1.28,-1.42,0.36
1630214,Xavier Tillman,pf_pos,27.4,-0.92,-2.31,1.39,-2.3,1.99,-2.31,1.02
1642377,Jaylen Wells,sg_pos,22.8,-0.92,0.03,-0.95,-0.02,-1.13,0.1,-0.83
1642863,Khaman Maluach,c_pos,19.6,-0.92,-2.69,1.76,-2.71,1.9,-2.44,0.85
1642278,Tyler Kolek,pg_pos,25.2,-0.93,-0.49,-0.44,-0.33,-0.75,-1.21,0.38
1626171,Bobby Portis,pf_pos,31.3,-0.93,-0.09,-0.84,-0.08,-0.52,-0.09,-0.9
1631159,Leonard Miller,pf_pos,22.5,-0.95,-0.12,-0.82,-0.07,-0.88,-0.44,-0.64
1630604,E.J. Liddell,sf_pos,25.5,-0.95,-1.03,0.08,-1.09,0.08,-0.45,0.09
1641783,Tristan da Silva,sf_pos,25.1,-0.96,-0.86,-0.1,-1.13,-0.69,-0.48,0.38
201572,Brook Lopez,c_pos,38.2,-0.96,-2.11,1.15,-1.36,0.18,-2.21,1.22
1643024,Chris Mañon,sg_pos,24.3,-0.96,-1.62,0.66,-1.62,0.67,-1.9,-0.19
1641763,Julian Phillips,sf_pos,22.6,-0.97,-0.57,-0.4,-0.73,-0.58,-0.16,-0.14
1631199,Ron Harper Jr.,sf_pos,26.1,-0.97,-0.24,-0.73,-0.17,-0.78,-1.22,-0.33
1643052,Chaney Johnson,sg_pos,23.8,-0.98,-1.24,0.26,-1.21,0.33,-1.74,-0.37
1642367,Jonathan Mogbo,c_pos,24.6,-0.98,-2.1,1.12,-1.96,1.61,-2.55,0.21
1641738,Kobe Brown,pf_pos,26.4,-0.98,-0.15,-0.84,0.08,-0.68,-0.8,-1.13
203484,Kentavious Caldwell-Pope,sg_pos,33.3,-0.98,-0.89,-0.1,-1.03,-0.5,-0.87,-0.06
1641869,Malachi Smith,sg_pos,26.3,-0.98,-0.61,-0.37,-0.55,-0.36,-1.54,-0.49
1631120,JD Davison,pg_pos,23.7,-0.99,-1.71,0.72,-1.69,0.87,-1.86,-0.38
1642449,Tolu Smith,c_pos,25.9,-1,-1.39,0.4,-1.39,0.42,-1.6,0.09
1631288,Jamal Cain,sg_pos,27.2,-1,-0.24,-0.77,-0.1,-1.03,-0.63,-0.29
1631109,Mark Williams,c_pos,24.5,-1.01,-0.38,-0.64,0.47,-0.59,-1.42,-0.67
1642856,Egor Dëmin,sg_pos,20.1,-1.01,-0.61,-0.41,-0.54,-0.27,-0.85,-0.72
1631123,Jamaree Bouyea,pg_pos,26.9,-1.03,-1.38,0.35,-1.39,0.41,-1.29,0.13
1629023,P.J. Washington,pf_pos,27.8,-1.04,-1.23,0.18,-1.81,-0.3,-1.03,0.28
